step,vehicle_id,lane_index,position,speed,target_speed,priority
58,7,1,331.8362326097523,25.00000000157669,25.000000001641403,12.563922021248986
58,8,2,396.23318541424516,25.000000002384258,25.000000002200007,10.675573986867018
58,9,2,321.60002143196664,25.000000002223807,25.000000002121094,12.168782463935509
58,11,2,370.66706940570504,25.000000000541743,25.00000000083208,11.187355778631115
59,5,1,364.9216997271423,25.000000001294968,25.000000001304716,11.90177779952035
59,6,1,395.1054833846414,25.000000001125564,25.000000001067995,11.29811627678917
59,7,1,336.8362326100339,25.00000000110736,25.00000000115281,12.463801396599928
59,8,2,401.1261895298973,23.511659809630643,23.660493828705626,9.833896542668684
59,9,2,326.6000166218823,25.000000001561848,25.00000000148971,12.068402146461402
59,11,2,375.6670694058018,25.000000000380485,24.85116598138001,11.087314838247593
60,5,1,369.9216997273736,25.0000000009095,25.000000000916344,11.802530816635239
60,6,1,400.10548338484244,25.000000000790518,24.851165981545698,11.198625349688298
60,7,1,341.83623261023166,25.00000000077773,25.000000000809653,12.364024352450597
