step,vehicle_id,action,lane,pos,speed,reward
2,9,LANE_LEFT,2,46.48947192829032,25.612722380981797,-0.2193638809509102
2,10,LANE_LEFT,2,20.585812867265364,25.351851532867677,-0.8755637742425638
2,11,LANE_LEFT,2,95.83457563909747,25.14926528070959,-0.9540061086332203
3,0,IDLE,0,180.7263215001403,25.423473043937676,-0.22882634780311617
3,1,IDLE,0,121.70279334867988,25.45603901230005,-0.22719804938499755
3,2,IDLE,0,31.517865041477155,25.154915945094736,-0.24225420274526321
3,3,IDLE,0,62.15379983783234,25.41177171308978,-0.22941141434551093
3,4,IDLE,1,150.75611589659295,25.057720808276837,-0.24711395958615812
3,5,IDLE,1,89.70761970474231,25.356800038627938,-0.2607051400503466
3,6,IDLE,1,119.91940867504238,25.310124517123644,-0.23449377414381778
3,7,IDLE,1,61.653167172163336,25.30510906422505,-0.5514666127967673
3,8,IDLE,2,126.21343947291639,25.46138396791126,-0.22693080160443702
3,9,LANE_LEFT,2,51.59890464983193,25.430334511745787,-0.22848327441271066
3,10,LANE_LEFT,2,25.648653840625272,25.247116577267832,-0.8570531166367403
3,11,LANE_LEFT,2,100.86123454108427,25.10483377739823,-0.9348233485264564
4,0,IDLE,0,185.80195413432503,25.29741865362975,-0.23512906731851246
4,1,IDLE,0,126.78424229161742,25.320290774070813,-0.23398546129645936
4,2,IDLE,0,36.54553315677391,25.108802419600142,-0.24455987901999288
4,3,IDLE,0,67.22734260469693,25.289200434982124,-0.2355399782508938
4,4,IDLE,1,155.76642488045803,25.0405391685017,-0.24797304157491507
4,5,IDLE,1,94.77134448530384,25.25059207102538,-0.2503300583512405
4,6,IDLE,1,124.97479716904718,25.21781036044898,-0.239109481977551
4,7,IDLE,1,66.7076599021525,25.214287847576443,-0.540309574779838
4,8,IDLE,2,131.29584302932525,25.324044707229856,-0.2337977646385072
4,9,LANE_LEFT,2,56.67576274781452,25.30223768177482,-0.23488811591125902
4,10,LANE_LEFT,2,30.692789064713438,25.17355787045422,-0.8440190840751242
4,11,LANE_LEFT,2,105.87995794001054,25.073628112521117,-0.9213738024455808
5,0,IDLE,0,190.85507335065233,25.208886626417602,-0.23955566867911993
5,1,IDLE,0,131.84144648748025,25.224950447632725,-0.2387524776183637
5,2,IDLE,0,41.56496535846381,25.076415416783636,-0.24617922916081825
5,3,IDLE,0,72.27899404040978,25.20311470879403,-0.2398442645602985
5,4,IDLE,1,160.773665209318,25.028471953735075,-0.2485764023132463
5,5,IDLE,1,99.81610043543759,25.175998820802462,-0.2430012194190606
5,6,IDLE,1,130.01369827869118,25.152975177709024,-0.24235124111454875
5,7,IDLE,1,71.74593188809826,25.150501204333523,-0.5324428871857445
5,8,IDLE,2,136.35371768073995,25.227586954871995,-0.23862065225640028
5,9,LANE_LEFT,2,61.729742646534795,25.212271183907692,-0.23938644080461535
5,10,LANE_LEFT,2,35.723786643222546,25.121895239605706,-0.8348482546063496
5,11,LANE_LEFT,2,110.89310798150608,25.051711376695216,-0.9119390721305206
6,0,IDLE,0,195.89238067405367,25.146707754082044,-0.24266461229589775
6,1,IDLE,0,136.88162282257187,25.157989889146716,-0.24210050554266416
6,2,IDLE,0,46.578613214794714,25.05366898956546,-0.24731655052172707
6,3,IDLE,0,77.31527049457301,25.14265395185534,-0.24286730240723298
6,4,IDLE,1,165.7787503236888,25.019996763117092,-0.24900016184414542
6,5,IDLE,1,104.84753396968792,25.123609597051935,-0.24381952014740327
6,6,IDLE,1,135.0410197713355,25.107439356635144,-0.2446280321682428
6,7,IDLE,1,76.77281152706152,25.105701806061404,-0.526902615411522
6,8,IDLE,2,141.39436489819445,25.15984159244782,-0.2420079203776091
6,9,LANE_LEFT,2,66.7676544546895,25.14908483698318,-0.2425457581508409
6,10,LANE_LEFT,2,40.74555723334143,25.08561092274091,-0.8283990472377614
